,imgname,psnr,ssim,uiqm,uciqe
77,nachsholim_RGT_3204-patch_fake,inf,1.0,0.6621203786126566,27.010687011630157
78,katzaa_RGT_4490-patch_fake,inf,1.0,0.6741655446111847,24.20600972493662
79,michmoret_LFT_5457-patch_fake,inf,1.0,0.37859184084978714,30.1774081269119
80,nachsholim_LFT_3194-patch_fake,inf,1.0,0.5852703950549015,27.31478311726144
81,michmoret_RGT_5472-patch_fake,inf,1.0,0.3706129088167254,28.344945921064287
82,katzaa_LFT_4031-patch_fake,inf,1.0,0.6505723142807455,29.96509591715247
83,satil_RGT_4381-patch_fake,inf,1.0,0.36340241485292835,26.630595793001014
84,katzaa_RGT_4495-patch_fake,inf,1.0,0.9056404170061485,31.43332459454391
85,michmoret_RGT_5469-patch_fake,inf,1.0,0.5670144876502893,30.922943585599775
86,michmoret_LFT_5447-patch_fake,inf,1.0,0.4353057486342453,27.935063627734355
87,michmoret_RGT_5451-patch_fake,inf,1.0,0.5460632950574781,26.185424464154025
88,satil_LFT_3875-patch_fake,inf,1.0,0.49745683478151226,26.168981282601916
89,satil_RGT_4351-patch_fake,inf,1.0,0.43907705963705435,24.11786712658341
90,nachsholim_RGT_3270-patch_fake,inf,1.0,0.7114935816219381,28.661235515672615
91,katzaa_RGT_4482-patch_fake,inf,1.0,0.3831022931924186,25.356897086885144
92,katzaa_LFT_4034-patch_fake,inf,1.0,0.8279964767839898,31.361924862553384
93,katzaa_RGT_4488-patch_fake,inf,1.0,0.694527153222071,26.13243787444169
94,katzaa_LFT_4019-patch_fake,inf,1.0,0.2721011481629583,26.347682220827398
95,nachsholim_RGT_3274-patch_fake,inf,1.0,0.7149163139680731,26.103424537057105
96,michmoret_RGT_5461-patch_fake,inf,1.0,0.48276341892485,29.283343226038724
97,satil_RGT_4318-patch_fake,inf,1.0,0.5238651363449128,23.798525822565196
98,katzaa_RGT_4486-patch_fake,inf,1.0,0.5451765720532089,26.155401476060437
99,michmoret_LFT_5439-patch_fake,inf,1.0,0.5413364516278434,28.384564429754207
100,michmoret_LFT_5449-patch_fake,inf,1.0,0.6352402549569147,31.697999928412905
101,michmoret_RGT_5459-patch_fake,inf,1.0,0.5069877587421036,26.87168324844288
102,nachsholim_RGT_2998-patch_fake,inf,1.0,0.6644619567112497,25.58233639367457
103,michmoret_RGT_5467-patch_fake,inf,1.0,0.4682431836173865,25.600122565844675
104,katzaa_RGT_4485-patch_fake,inf,1.0,0.5512143537651493,26.337520736711806
105,nachsholim_LFT_3013-patch_fake,inf,1.0,0.7491292624620709,29.550040098720686
106,michmoret_RGT_5450-patch_fake,inf,1.0,0.5081733347594983,25.796771134829207
107,katzaa_LFT_4029-patch_fake,inf,1.0,0.6183901431416662,24.681000071304826
108,katzaa_RGT_4489-patch_fake,inf,1.0,0.746482827524972,24.557824723441506
109,michmoret_RGT_5449-patch_fake,inf,1.0,0.47249658768820646,26.63920688435517
110,Average:,inf,1.0,0.5510177343698303,27.09947335642537
